city,country,date,max_temp,cloudiness,humidity,wind_speed,lat,lng
Burns Lake,CA,1600396100,63.81,0,61,1.92,54.23,-125.75
Busselton,AU,1600396115,59.0,9,65,5.99,-33.65,115.33
Butaritari,KI,1600395965,82.24,94,74,12.8,3.07,172.79
Byron Bay,AU,1600396079,75.0,40,73,12.75,-28.65,153.62
Bāli Chak,IN,1600396163,82.36,100,84,5.32,22.37,87.55
Cabedelo,BR,1600395985,69.8,0,94,3.36,-6.98,-34.83
Cabo San Lucas,MX,1600396111,84.2,40,62,2.13,22.89,-109.91
Camacha,PT,1600396161,71.6,40,68,18.34,33.08,-16.33
Cap Malheureux,MU,1600396170,71.01,87,67,4.0,-19.98,57.61
Cape Town,ZA,1600395976,48.2,3,100,2.24,-33.93,18.42
Caravelas,BR,1600396192,70.63,84,81,6.64,-17.71,-39.25
Carbonia,IT,1600396261,71.01,5,83,3.36,39.17,8.52
Carnarvon,AU,1600396216,80.6,0,30,12.75,-24.87,113.63
Carutapera,BR,1600396107,78.1,0,82,6.76,-1.2,-46.02
Castro,BR,1600396113,59.22,100,85,2.75,-24.79,-50.01
Catuday,PH,1600396163,83.28,2,72,9.73,16.29,119.81
Caucaia,BR,1600395945,79.0,20,78,13.87,-3.74,-38.65
Caxito,AO,1600396159,69.8,75,88,9.17,-8.58,13.66
Cayambe,EC,1600396196,53.6,40,93,2.24,0.05,-78.13
Cayenne,GF,1600396124,77.0,0,94,12.26,4.93,-52.33
Celestún,MX,1600396146,83.97,51,79,6.22,20.87,-90.4
Cerrito,CO,1600396265,52.41,98,87,2.26,6.84,-72.69
Charlestown,AU,1600396261,66.0,100,90,8.46,-32.95,151.67
Charters Towers,AU,1600396128,80.37,84,49,16.08,-20.1,146.27
Chase,CA,1600396232,61.0,0,85,2.26,50.82,-119.69
Chegutu,ZW,1600396187,62.73,0,55,7.09,-18.13,30.14
Cherskiy,RU,1600396132,35.62,100,87,6.33,68.75,161.3
Chicama,PE,1600396228,61.43,62,80,5.32,-7.84,-79.15
Chililabombwe,ZM,1600396188,65.53,7,34,7.47,-12.36,27.82
Chimbote,PE,1600396182,59.18,22,88,6.08,-9.09,-78.58
Chokurdakh,RU,1600396054,45.75,100,87,14.5,70.63,147.92
Chui,UY,1600396132,55.9,0,87,8.32,-33.7,-53.46
Chumikan,RU,1600396184,49.44,100,91,13.44,54.72,135.31
Chunskiy,RU,1600396162,55.51,31,63,9.01,56.08,99.63
Cidreira,BR,1600396115,60.03,0,88,4.81,-30.18,-50.21
Clyde River,CA,1600396111,33.8,90,87,2.24,70.47,-68.59
Cockburn Town,TC,1600396155,83.23,0,78,13.2,21.46,-71.14
Codrington,AU,1600396163,58.41,100,82,6.8,-38.27,141.97
Collecchio,IT,1600396256,73.0,0,75,2.33,44.75,10.22
College,US,1600395953,62.6,75,76,3.94,64.86,-147.8
Comodoro Rivadavia,AR,1600396175,48.2,0,49,26.4,-45.87,-67.5
Conakry,GN,1600396261,80.17,100,83,9.53,9.54,-13.68
Coquimbo,CL,1600396239,53.6,0,87,1.3,-29.95,-71.34
Coyhaique,CL,1600396188,41.0,75,80,6.93,-45.58,-72.07
Cururupu,BR,1600396175,75.33,0,89,3.67,-1.83,-44.87
Cuyamel,HN,1600396139,84.2,40,83,5.82,15.67,-88.2
Córdoba,AR,1600395876,73.0,0,33,10.29,-31.41,-64.18
Dakar,SN,1600396160,82.4,40,83,4.7,14.69,-17.44
Dalbandin,PK,1600396215,75.7,0,17,5.53,28.89,64.41
Damara,CF,1600396233,71.6,75,100,4.68,4.96,18.7
Darnah,LY,1600396247,70.65,0,71,5.35,32.77,22.64
Daru,PG,1600396146,80.37,99,85,17.4,-9.08,143.21
Dauphin,CA,1600395978,35.6,1,80,5.82,51.15,-100.05
Davidson,US,1600396200,72.0,20,60,5.82,36.15,-86.78
Departamento de Maldonado,UY,1600396230,62.6,1,59,9.17,-34.67,-54.92
Deputatsky,RU,1600396126,42.08,100,89,11.68,69.3,139.9
Derzhavīnsk,KZ,1600396218,50.22,39,86,8.93,51.1,66.32
Devils Lake,US,1600396245,46.4,1,49,8.05,48.11,-98.87
Dhidhdhoo,MV,1600396208,82.65,62,77,17.43,6.88,73.1
Dickinson,US,1600396240,84.0,40,74,8.05,29.46,-95.05
Diffa,NE,1600396257,83.59,1,53,8.32,13.32,12.61
Dikson,RU,1600396113,44.38,53,92,12.01,73.51,80.55
Dingle,PH,1600396164,80.92,100,81,1.3,11.0,122.67
Djougou,BJ,1600396214,69.8,55,98,3.96,9.71,1.67
Dmitriyevka,RU,1600396141,37.0,40,93,8.95,54.75,55.33
Doha,QA,1600396110,87.8,0,62,4.7,25.29,51.53
Dohad,IN,1600396243,77.95,85,89,7.25,22.83,74.27
Doka,SD,1600396235,72.5,100,91,4.38,13.52,35.77
Dolisie,CG,1600396161,71.01,100,89,3.58,-4.2,12.67
Dolores,AR,1600396155,58.59,9,79,10.22,-36.31,-57.68
Dongsheng,CN,1600396177,60.17,0,32,2.77,39.82,109.98
Drayton Valley,CA,1600396045,57.0,2,72,6.49,53.22,-114.99
Dubti,ET,1600396251,89.76,0,44,3.69,11.74,41.09
Dunedin,NZ,1600395840,52.0,100,62,38.99,-45.87,170.5
Durban,ZA,1600396043,63.0,34,87,8.05,-29.86,31.03
Dzerzhinsk,RU,1600396231,61.0,40,62,15.66,56.24,43.46
Dzheguta,RU,1600396208,59.41,94,47,4.14,43.97,42.04
East London,ZA,1600396060,60.24,46,72,11.74,-33.02,27.91
East Millcreek,US,1600396225,79.0,75,31,4.0,40.7,-111.81
Egvekinot,RU,1600396129,38.68,91,74,9.69,66.32,-179.17
Elbasan,AL,1600396119,68.0,90,88,2.24,41.11,20.08
Ellensburg,US,1600396137,69.01,90,63,3.36,47.0,-120.55
Emba,KZ,1600396225,48.83,1,75,4.72,48.83,58.14
Erdenet,MN,1600396232,57.13,0,52,2.93,49.03,104.08
Esperance,AU,1600396178,57.2,75,100,8.05,-33.87,121.9
Eureka,US,1600396072,66.0,37,85,1.01,40.8,-124.16
Evora,PT,1600396022,60.8,89,87,5.82,38.57,-7.9
Faanui,PF,1600396118,78.62,4,78,15.14,-16.48,-151.75
Fairbanks,US,1600396220,62.6,20,55,6.93,64.84,-147.72
Fare,PF,1600396202,79.03,0,75,13.31,-16.7,-151.02
Faya,SA,1600396178,64.4,65,22,5.46,18.39,42.45
Fendou,CN,1600396125,56.75,98,83,0.43,46.65,124.87
Ferlach,AT,1600396147,57.2,75,93,2.24,46.53,14.3
Flin Flon,CA,1600396149,40.82,0,67,3.71,54.77,-101.86
Flinders,AU,1600396204,63.0,100,81,1.01,-34.58,150.86
Fort Nelson,CA,1600396053,55.4,75,82,2.24,58.81,-122.7
Fortuna,US,1600396087,66.99,20,82,10.29,40.6,-124.16
Frederikssund,DK,1600396217,45.0,23,93,2.24,55.84,12.07
Fukuechō,JP,1600396117,69.8,75,88,14.99,32.69,128.84
Garmsār,IR,1600396212,66.58,0,40,3.98,35.22,52.34
George Town,MY,1600396094,78.01,40,94,3.36,5.41,100.34
Geraldton,AU,1600396173,69.8,0,35,17.22,-28.77,114.6
Ghanzi,BW,1600396257,63.61,26,26,7.83,-21.57,21.78
Gijang,KR,1600396191,69.8,90,68,4.7,35.24,129.21
Ginir,ET,1600396219,60.89,53,72,8.16,7.13,40.7
Gladstone,AU,1600396177,77.0,6,50,16.11,-23.85,151.25
Goderich,CA,1600396252,54.0,0,74,18.99,43.75,-81.72
Gornyy,RU,1600396216,52.54,18,66,19.75,55.12,83.91
Gostyń,PL,1600396157,46.0,37,82,3.24,51.88,17.01
Grand Gaube,MU,1600396122,71.01,88,68,3.0,-20.01,57.66
Grand-Santi,GF,1600396172,73.9,16,95,2.26,4.25,-54.38
Grants Pass,US,1600396192,77.0,20,36,5.12,42.44,-123.33
Griffith,US,1600396212,61.0,1,59,4.7,41.53,-87.42
Grindavik,IS,1600396147,46.4,75,93,19.46,63.84,-22.43
Guarapari,BR,1600396211,75.99,0,78,11.41,-20.67,-40.5
Guerrero Negro,MX,1600396112,84.49,0,39,11.99,27.98,-114.06
Gujan-Mestras,FR,1600396153,73.4,84,56,3.36,44.63,-1.07
