city,country,date,max_temp,cloudiness,humidity,wind_speed,lat,lng
Narok,KE,1600396194,54.9,80,77,7.09,-1.08,35.86
Narsaq,GL,1600396113,44.6,100,70,5.82,60.92,-46.05
Nautla,MX,1600396114,78.69,77,84,9.57,20.22,-96.78
Naze,JP,1600396172,86.0,75,84,9.17,28.37,129.48
Necochea,AR,1600396191,48.0,91,12,1.99,-38.55,-58.74
Neepawa,CA,1600396214,44.6,75,56,6.93,50.23,-99.47
Neiafu,TO,1600396247,77.0,75,88,10.29,-18.65,-173.98
New Iberia,US,1600396129,79.0,1,83,4.7,30.0,-91.82
New Norfolk,AU,1600396112,59.0,0,56,1.01,-42.78,147.06
Ngunguru,NZ,1600396159,57.99,100,3,11.99,-35.62,174.5
Nieuw Amsterdam,SR,1600396253,81.0,2,88,1.99,5.88,-55.08
Nikolskoye,RU,1600396134,45.0,90,93,15.66,59.7,30.79
Nizwá,OM,1600396156,79.34,7,26,4.12,22.93,57.53
Nome,US,1600396259,46.99,90,87,6.93,64.5,-165.41
Norman Wells,CA,1600396136,57.2,40,54,5.82,65.28,-126.83
Norrköping,SE,1600396109,44.6,31,87,4.7,58.59,16.18
North Bend,US,1600396081,66.0,90,100,3.36,43.41,-124.22
Northam,GB,1600396184,54.0,0,82,3.0,51.03,-4.22
Novi,US,1600396169,55.99,0,80,9.84,42.48,-83.48
Novikovo,RU,1600396209,49.3,66,78,10.49,51.15,37.89
Novo Oriente,BR,1600396217,72.43,0,43,3.0,-5.53,-40.77
Nsanje,MW,1600396264,71.11,0,62,5.03,-16.92,35.26
Nsoko,SZ,1600396259,55.4,3,93,4.7,-27.03,31.95
Nueva Rosita,MX,1600396170,73.99,4,94,7.09,27.95,-101.22
Nyurba,RU,1600396041,52.43,0,60,3.33,63.28,118.33
Níjar,ES,1600396219,78.8,100,47,18.34,36.97,-2.21
Nõo,EE,1600396237,48.0,99,87,12.75,58.28,26.54
Obodivka,UA,1600396127,48.0,38,77,10.02,48.41,29.25
Ocós,GT,1600396165,77.0,75,94,4.7,14.51,-92.19
Oddur,SO,1600396219,69.69,0,78,9.89,4.12,43.89
Oga,IT,1600396168,57.2,75,100,1.5,46.46,10.35
Okhotsk,RU,1600396127,55.26,0,43,3.22,59.38,143.3
Oktyabr'skiy,RU,1600396151,42.33,53,90,8.72,54.48,53.47
Olafsvik,IS,1600396191,48.49,55,86,19.28,64.89,-23.71
Olden,NO,1600396176,52.0,100,76,5.99,61.84,6.81
Omsukchan,RU,1600396232,39.16,99,72,5.73,62.53,155.8
Opuwo,NA,1600396210,56.97,0,35,3.38,-18.06,13.84
Oruzgan,AF,1600396198,52.54,0,42,7.72,32.83,66.0
Osinniki,RU,1600396185,54.1,100,81,6.17,53.62,87.36
Ostashkov,RU,1600396186,44.01,73,94,8.99,57.15,33.11
Ostrovnoy,RU,1600396137,39.4,100,82,4.45,68.05,39.51
Oussouye,SN,1600396262,78.8,40,100,4.7,12.48,-16.55
Paamiut,GL,1600396118,43.72,100,79,39.68,61.99,-49.67
Pachuquilla,MX,1600396223,55.56,51,91,6.13,20.07,-98.7
Pacific Grove,US,1600395894,66.99,58,92,1.01,36.62,-121.92
Padang,ID,1600396140,83.12,100,65,5.23,-0.95,100.35
Palamós,ES,1600396014,72.0,69,48,9.78,41.85,3.13
Palmer,US,1600396144,62.6,75,72,8.05,42.16,-72.33
Pandan,PH,1600396158,86.22,68,63,0.67,14.05,124.17
Pangnirtung,CA,1600396122,33.93,4,78,5.26,66.15,-65.71
Pardubice,CZ,1600396256,46.99,68,87,5.44,50.04,15.78
Pauini,BR,1600396109,80.06,21,55,0.85,-7.71,-66.98
Payson,US,1600396124,75.99,1,57,4.21,40.04,-111.73
Petropavlovsk-Kamchatskiy,RU,1600396131,57.2,40,87,8.95,53.05,158.65
Pevek,RU,1600395992,34.34,97,89,10.98,69.7,170.31
Philadelphia,US,1600396084,71.6,90,94,5.82,39.95,-75.16
Pilot Butte,CA,1600396264,53.6,40,43,12.75,50.47,-104.42
Pineville,US,1600396150,79.0,1,78,4.7,31.32,-92.43
Pinyug,RU,1600396204,43.61,100,97,9.35,60.25,47.78
Pionerskiy,RU,1600396131,55.4,40,66,13.42,54.95,20.23
Pisco,PE,1600396003,60.8,40,87,9.17,-13.7,-76.22
Pleasanton,US,1600396073,73.4,1,43,12.75,37.66,-121.87
Plettenberg Bay,ZA,1600396149,54.81,0,73,2.53,-34.05,23.37
Polunochnoye,RU,1600396266,38.35,100,89,4.68,60.87,60.42
Ponta Delgada,PT,1600396255,68.0,20,68,10.29,37.73,-25.67
Ponta do Sol,PT,1600396160,68.0,20,72,5.82,32.67,-17.1
Pontes e Lacerda,BR,1600396198,78.42,26,31,1.43,-15.23,-59.34
Porbandar,IN,1600396153,82.09,98,81,9.84,21.64,69.61
Poronaysk,RU,1600396180,64.54,89,85,4.47,49.22,143.12
Port Alfred,ZA,1600395974,57.52,0,77,12.48,-33.59,26.89
Port Blair,IN,1600396248,79.57,100,87,17.96,11.67,92.75
Port Elizabeth,ZA,1600396161,48.2,0,93,5.59,-33.92,25.57
Port Hardy,CA,1600396193,64.4,75,88,6.93,50.7,-127.42
Port Hedland,AU,1600396118,84.2,1,16,14.99,-20.32,118.57
Port Keats,AU,1600396178,85.39,20,61,7.23,-14.25,129.55
Port Lincoln,AU,1600396134,65.3,43,73,17.27,-34.73,135.87
Port Macquarie,AU,1600396025,75.0,75,73,12.75,-31.43,152.92
Port Moresby,PG,1600396227,87.8,75,66,11.41,-9.44,147.18
Port-Gentil,GA,1600396150,75.78,100,87,12.57,-0.72,8.78
Portland,US,1600395630,71.6,75,68,3.29,45.52,-122.68
Pozhva,RU,1600396242,41.31,100,89,7.4,59.09,56.08
Praia,CV,1600396259,79.56,0,82,6.64,14.92,-23.51
Praia da Vitória,PT,1600396112,70.0,75,94,9.89,38.73,-27.07
Presidencia Roque Sáenz Peña,AR,1600396134,62.1,0,53,2.71,-26.79,-60.44
Price,US,1600396193,73.4,1,12,5.82,39.6,-110.81
Prijepolje,RS,1600396238,60.8,12,100,9.17,43.37,19.64
Prince Rupert,CA,1600396204,60.8,1,93,4.7,54.32,-130.32
Pringsewu,ID,1600396139,83.46,7,64,3.0,-5.36,104.97
Provideniya,RU,1600395963,51.8,75,66,8.95,64.38,-173.3
Provincia di Campobasso,IT,1600396145,70.0,6,83,3.8,41.63,14.58
Pryazha,RU,1600396194,42.8,100,87,15.66,61.69,33.62
Pudozh,RU,1600396252,42.48,100,88,13.4,61.81,36.53
Puerto Ayacucho,VE,1600396158,77.13,100,84,3.2,5.66,-67.62
Puerto Ayora,EC,1600396121,66.0,83,90,1.01,-0.74,-90.35
Puerto Limón,CR,1600396142,82.11,6,72,2.53,10.0,-83.03
Puerto Madryn,AR,1600395997,52.41,0,41,27.42,-42.77,-65.04
Puerto del Rosario,ES,1600396235,73.4,22,78,10.29,28.5,-13.86
Punta Alta,AR,1600396230,53.8,86,41,13.44,-38.88,-62.07
Punta Arenas,CL,1600396119,32.0,44,90,25.28,-53.15,-70.92
Puri,IN,1600396151,84.2,40,83,4.9,19.8,85.85
Pyaozerskiy,RU,1600396110,37.6,100,87,1.83,65.83,31.17
Qaanaaq,GL,1600395995,19.18,71,88,8.97,77.48,-69.36
Qasigiannguit,GL,1600396190,30.2,11,54,2.24,68.82,-51.19
Quang Ngai,VN,1600396196,76.95,100,86,12.01,15.12,108.8
Rajaori,IN,1600396237,79.7,0,43,2.64,33.38,74.3
Raudeberg,NO,1600396257,55.99,100,83,30.0,61.99,5.14
Rawson,AR,1600396196,51.57,6,42,29.28,-43.3,-65.1
Ribas do Rio Pardo,BR,1600396141,70.88,0,65,4.36,-20.44,-53.76
Ribeira Grande,PT,1600396127,70.63,80,81,15.86,38.52,-28.7
Richards Bay,ZA,1600396246,61.3,3,88,6.13,-28.78,32.04
Rikitea,PF,1600396108,72.39,1,80,22.01,-23.12,-134.97
Riohacha,CO,1600396001,80.69,78,74,6.51,11.54,-72.91
Riorges,FR,1600396232,64.4,0,77,4.7,46.04,4.05
Ritchie,ZA,1600396261,50.0,0,27,3.36,-29.04,24.6
Riyadh,SA,1600396080,78.8,13,26,3.36,24.69,46.72
Road Town,VG,1600395903,82.99,0,79,14.0,18.42,-64.62
Roald,NO,1600396129,59.0,100,72,19.46,62.58,6.13
Robertsport,LR,1600396183,77.4,100,85,9.53,6.75,-11.37
Rocha,UY,1600396167,57.15,1,79,10.36,-34.48,-54.33
Rochegda,RU,1600396148,40.23,100,91,10.18,62.8,43.25
Rock Sound,BS,1600396135,84.0,94,70,5.86,24.9,-76.2
Rodrigues Alves,BR,1600396135,77.0,63,94,0.76,-7.74,-72.65
Roebourne,AU,1600396156,78.15,0,27,20.62,-20.78,117.13
Rongcheng,CN,1600396154,63.84,100,86,5.55,30.63,117.85
Rundu,NA,1600396152,65.35,0,31,1.61,-17.93,19.77
Russell,US,1600396166,73.4,90,88,4.7,32.35,-85.2
Ruteng,ID,1600396141,78.44,13,49,1.5,-8.61,120.47
Rūdbār,AF,1600396186,63.63,0,44,10.83,30.15,62.6
Sabang,ID,1600396143,83.26,100,73,22.35,5.89,95.32
Sabha,LY,1600396238,74.35,0,31,9.64,27.04,14.43
Sabzawār,IR,1600396192,55.81,0,55,6.78,36.21,57.68
Safaga,EG,1600396230,86.0,0,40,8.05,26.73,33.94
Saint Anthony,US,1600396240,50.0,1,75,5.7,45.02,-93.22
Saint George,US,1600396165,91.99,1,8,6.93,37.1,-113.58
Saint Paul Harbor,US,1600396174,55.4,20,66,11.41,57.79,-152.41
Saint-André,RE,1600396190,68.0,41,64,12.75,-20.95,55.65
Saint-Donat-de-Montcalm,CA,1600396175,35.92,0,78,3.13,46.32,-74.22
Saint-François,FR,1600396152,64.4,0,77,4.7,46.42,3.91
Saint-Joseph,RE,1600396165,66.2,26,59,8.05,-21.37,55.62
Saint-Philippe,RE,1600396122,68.0,43,59,8.05,-21.36,55.77
Saint-Pierre,RE,1600396173,66.2,15,59,8.05,-21.34,55.48
Sal Rei,CV,1600396210,80.6,75,88,9.17,16.18,-22.92
Salalah,OM,1600396009,80.6,75,83,8.05,17.02,54.09
Salaverry,PE,1600396187,59.5,9,86,4.45,-8.23,-78.97
Saldanha,ZA,1600395862,44.6,73,87,2.24,-33.01,17.94
Salé,MA,1600396240,70.0,75,88,11.41,34.04,-6.82
Samarai,PG,1600396059,80.02,100,86,16.78,-10.62,150.67
Sampit,ID,1600396074,88.56,61,57,4.63,-2.53,112.95
San Antonio,US,1600396026,77.0,40,73,8.05,29.42,-98.49
San Cristobal,VE,1600396061,66.56,33,83,1.39,7.77,-72.22
San Ignacio,BZ,1600396114,82.0,4,76,3.85,17.16,-89.07
San Jerónimo,PE,1600396227,53.08,67,55,5.82,-11.95,-75.28
San Juan,AR,1600396237,65.5,0,26,3.69,-31.54,-68.54
San Patricio,MX,1600396104,79.74,100,79,2.1,19.22,-104.7
San Ramon,US,1600396140,75.0,1,43,12.75,37.78,-121.98
Sanandij,IR,1600396244,59.43,0,40,2.68,35.31,46.99
Sanming,CN,1600396124,79.45,96,77,3.62,26.25,117.62
Santa Cruz de Tenerife,ES,1600396233,70.0,40,88,21.92,28.47,-16.25
Saskylakh,RU,1600396008,54.21,0,61,10.51,71.92,114.08
Sassandra,CI,1600396197,72.91,82,93,6.26,4.95,-6.08
Saurimo,AO,1600396179,70.54,99,69,3.8,-9.66,20.39
Sayyan,YE,1600396250,60.19,3,30,5.77,15.17,44.32
Sciacca,IT,1600396153,70.0,0,94,10.0,37.51,13.09
Semnan,IR,1600396146,60.35,0,46,1.61,35.57,53.4
Severo-Kuril'sk,RU,1600396148,55.31,100,83,3.38,50.68,156.12
Shahrud,IR,1600396239,59.38,0,50,3.27,36.42,54.98
Shalya,RU,1600396201,37.99,97,93,7.29,57.25,58.73
Shelburne,CA,1600396200,45.0,20,80,4.7,44.08,-80.2
Shenkursk,RU,1600396188,40.17,100,94,12.82,62.11,42.9
Sherlovaya Gora,RU,1600396189,49.89,100,69,14.03,50.57,116.25
Shevchenkove,UA,1600396179,53.6,40,71,11.18,49.7,37.17
Shihezi,CN,1600396258,67.37,61,39,23.11,44.3,86.03
Shimoda,JP,1600396182,84.2,75,83,25.28,34.67,138.95
Shiyan,CN,1600396245,78.66,0,39,2.82,32.65,110.78
Shëngjin,AL,1600396236,80.6,90,88,2.24,41.81,19.59
Siderno,IT,1600396193,77.0,20,73,8.05,38.28,16.3
Sinegorskiy,RU,1600396228,50.88,29,57,7.47,48.01,40.84
Sinnamary,GF,1600396192,78.84,1,86,11.14,5.38,-52.95
Sioux Lookout,CA,1600396189,33.8,20,86,2.24,50.1,-91.92
Sitka,US,1600396132,57.2,75,71,1.32,57.05,-135.33
Sittwe,MM,1600396123,83.03,97,81,4.03,20.15,92.9
Skara,SE,1600396199,45.0,61,92,3.36,58.39,13.44
Sobolevo,RU,1600396184,46.09,100,85,17.92,54.43,31.9
Sola,VU,1600396240,80.15,100,84,20.27,-13.88,167.55
Solano,US,1600396200,80.6,1,41,13.87,38.23,-121.95
Somerset West,ZA,1600396177,52.0,2,100,2.24,-34.08,18.82
Sompeta,IN,1600396171,83.82,65,77,1.81,18.93,84.6
Sorong,ID,1600396164,81.18,79,80,4.23,-0.88,131.25
Sosnogorsk,RU,1600396212,35.04,95,88,4.83,63.6,53.88
Souillac,MU,1600395964,69.8,75,77,13.87,-20.52,57.52
Soyo,AO,1600396111,73.98,93,87,9.01,-6.13,12.37
Srednekolymsk,RU,1600396250,42.06,99,88,15.75,67.45,153.68
St. George's,GD,1600396210,82.4,20,83,5.82,12.06,-61.75
Staropyshminsk,RU,1600396265,44.6,90,75,15.66,56.94,60.9
Suntar,RU,1600396125,53.42,0,58,3.83,62.14,117.63
Sur,OM,1600395985,79.93,4,61,2.3,22.57,59.53
Svetlaya,RU,1600396169,64.83,0,68,4.52,46.54,138.33
Svidník,SK,1600396249,42.01,0,99,7.56,49.31,21.57
São Filipe,CV,1600396144,79.83,0,83,6.87,14.9,-24.5
São José da Coroa Grande,BR,1600396187,73.29,2,80,5.77,-8.9,-35.15
São João Evangelista,BR,1600396231,63.12,10,64,2.57,-18.55,-42.76
São João da Barra,BR,1600395946,73.38,0,79,20.87,-21.64,-41.05
Sørland,NO,1600396155,51.22,100,89,30.09,67.67,12.69
Tabou,CI,1600396110,74.19,97,89,10.13,4.42,-7.35
Taiyuan,CN,1600396230,62.6,0,51,4.47,37.87,112.56
Talara,PE,1600396224,61.74,74,88,12.06,-4.58,-81.27
Talavera de la Reina,ES,1600396246,73.0,100,51,7.49,39.96,-4.83
Talaya,RU,1600396222,44.33,55,58,8.7,61.38,152.75
Talnakh,RU,1600396154,50.0,40,93,11.18,69.49,88.4
Taltal,CL,1600396184,57.97,18,64,4.27,-25.4,-70.48
Tambacounda,SN,1600396221,75.56,15,94,7.63,13.75,-13.76
Tanout,NE,1600396246,83.53,0,50,12.1,14.97,8.89
Taoudenni,ML,1600396098,90.77,20,17,14.36,22.68,-3.98
Tashtyp,RU,1600396248,58.78,99,61,7.63,52.79,89.9
Tasiilaq,GL,1600396166,37.4,100,69,0.69,65.61,-37.64
Taywarah,AF,1600396184,37.63,0,71,7.16,33.35,64.42
Te Anau,NZ,1600396020,44.89,100,82,7.61,-45.42,167.72
Tecolutla,MX,1600396239,78.76,63,83,9.71,20.48,-97.02
Teguise,ES,1600396179,73.4,77,78,5.82,29.06,-13.56
Tegul'det,RU,1600396195,51.98,2,88,8.03,57.31,88.17
Teresina,BR,1600396160,84.2,8,62,6.93,-5.09,-42.8
Terrace Bay,CA,1600396167,41.72,4,63,9.86,48.78,-87.1
Tete,MZ,1600396147,80.01,0,44,4.7,-16.16,33.59
Tezpur,IN,1600396223,84.34,28,78,0.92,26.63,92.8
Tezu,IN,1600396133,83.79,51,61,2.13,27.92,96.17
Thai Binh,VN,1600396264,84.2,20,66,17.22,20.45,106.33
The Valley,AI,1600395923,82.0,20,83,10.29,18.22,-63.06
Theunissen,ZA,1600396236,45.5,0,52,7.45,-28.41,26.7
Thompson,CA,1600396143,32.0,20,82,3.69,55.74,-97.86
Tiarei,PF,1600396120,82.4,40,65,9.17,-17.53,-149.33
Tigil',RU,1600396136,53.71,0,48,6.98,57.8,158.67
Tigre,AR,1600396235,68.0,1,45,8.05,-34.43,-58.58
Tiksi,RU,1600395969,50.11,75,68,21.5,71.69,128.87
Tilichiki,RU,1600396199,49.64,57,62,9.73,60.47,166.1
Timizart,DZ,1600396131,77.61,100,34,4.16,36.8,4.27
Tiznit Province,MA,1600396159,72.19,91,60,2.13,29.58,-9.5
Tomatlán,MX,1600396224,76.33,100,88,1.54,19.93,-105.25
Tombouctou,ML,1600396217,92.37,33,31,10.18,20.0,-3.0
Torbay,CA,1600396130,64.0,75,82,19.46,47.67,-52.73
Torrington,US,1600396243,62.01,100,95,4.25,41.8,-73.12
Touros,BR,1600396009,73.4,20,83,3.36,-5.2,-35.46
Tual,ID,1600396221,80.19,73,84,10.85,-5.67,132.75
Tuatapere,NZ,1600396018,51.01,100,79,18.99,-46.13,167.68
Tuktoyaktuk,CA,1600396122,42.8,75,93,9.17,69.45,-133.04
Tura,IN,1600396172,77.68,40,94,1.01,25.52,90.22
Turaif,SA,1600396187,78.8,32,27,11.41,31.67,38.66
Tāndā,IN,1600396145,81.52,40,84,9.78,26.55,82.65
Ubari,LY,1600396189,74.93,0,34,7.4,26.59,12.78
Ulladulla,AU,1600396116,62.6,90,77,6.93,-35.35,150.47
Umluj,SA,1600396121,95.25,0,18,17.69,25.02,37.27
Upernavik,GL,1600396021,30.27,7,92,6.53,72.79,-56.15
Ushuaia,AR,1600396108,30.2,90,86,17.22,-54.8,-68.3
Usinsk,RU,1600396220,39.18,99,86,13.58,65.99,57.53
Ust'-Kan,RU,1600396182,44.17,100,75,9.01,50.93,84.76
Ust'-Uda,RU,1600396180,54.52,0,61,4.14,54.17,103.03
Uyuni,BO,1600396177,45.27,8,45,4.32,-20.46,-66.83
Vaini,TO,1600396116,71.6,90,94,11.41,-21.2,-175.2
Valparaíso,CL,1600396222,66.2,0,63,9.17,-33.04,-71.63
Vanavara,RU,1600396120,51.82,89,62,7.9,60.34,102.28
Vao,NC,1600396252,71.74,30,85,19.57,-22.67,167.48
Vardø,NO,1600396134,44.94,100,75,23.38,70.37,31.11
Venado Tuerto,AR,1600396202,66.99,0,42,11.99,-33.75,-61.97
Vestmannaeyjar,IS,1600396160,49.89,100,76,19.42,63.44,-20.27
Viesca,MX,1600396219,77.0,90,57,6.93,25.35,-102.8
Vieste,IT,1600396178,75.2,40,64,18.34,41.88,16.18
Vila Franca do Campo,PT,1600396143,68.0,20,68,10.29,37.72,-25.43
Vila Velha,BR,1600396120,75.99,0,78,11.41,-20.33,-40.29
Villahermosa,MX,1600396200,80.6,40,83,2.86,17.98,-92.92
Virginia Beach,US,1600395546,72.0,100,99,4.0,36.85,-75.98
Vokhma,RU,1600396144,48.18,100,94,7.87,58.93,46.76
Voloshka,RU,1600396254,42.93,100,93,12.46,61.33,40.09
Vostok,RU,1600396169,61.16,4,78,2.64,46.49,135.88
Vrangel',RU,1600396265,65.21,11,67,12.01,42.73,133.08
Vryburg,ZA,1600396260,51.42,0,32,7.31,-26.96,24.73
Waingapu,ID,1600396152,85.64,29,54,8.81,-9.66,120.26
Wainwright,CA,1600396194,53.02,25,58,9.06,52.84,-110.86
Wanxian,CN,1600396168,70.05,39,66,3.78,30.8,108.39
Weiden,DE,1600396220,51.01,1,87,9.55,49.68,12.16
Whitehorse,CA,1600396246,57.2,75,28,12.75,60.72,-135.05
Wilmington,US,1600396019,79.0,90,94,3.36,34.23,-77.94
Wollongong,AU,1600396156,63.0,100,81,1.01,-34.43,150.88
Yangi Marg`ilon,UZ,1600396241,59.0,6,51,2.24,40.43,71.72
Yankton,US,1600396146,60.01,75,71,4.7,42.87,-97.4
Yar-Sale,RU,1600396190,45.55,100,92,6.31,66.83,70.83
Yatou,CN,1600396196,72.75,0,56,10.51,37.15,122.38
Yei,SS,1600396207,66.54,95,93,1.66,4.09,30.68
Yellowknife,CA,1600395901,46.4,75,70,12.75,62.46,-114.35
Yeppoon,AU,1600396130,78.8,0,41,13.87,-23.13,150.73
Yerbogachën,RU,1600396150,54.55,0,60,3.74,61.28,108.01
Yulara,AU,1600396197,66.2,0,42,11.41,-25.24,130.99
Yārāda,IN,1600396195,84.2,20,89,4.7,17.65,83.27
Zarubino,RU,1600396265,64.9,6,65,8.9,42.63,131.09
Zhigansk,RU,1600396190,50.45,0,51,1.43,66.77,123.37
Zhuhai,CN,1600396147,86.0,40,84,16.11,22.28,113.57
Zorritos,PE,1600396179,68.56,100,81,8.63,-3.68,-80.68
Östersund,SE,1600396213,50.0,100,61,8.05,63.18,14.64
Şabyā,SA,1600396182,87.8,0,74,3.36,17.15,42.63
Şebinkarahisar,TR,1600396163,56.89,0,48,0.89,40.29,38.42
